"","rater_id","rated_ID","Group","presItem","prestigeRatings","id"
"1.R1",6,7,2,"R1",6,1
"2.R1",6,8,2,"R1",4,2
"3.R1",6,9,2,"R1",4,3
"4.R1",6,10,2,"R1",4,4
"1.R2rev",6,7,2,"R2rev",6,1
"2.R2rev",6,8,2,"R2rev",6,2
"3.R2rev",6,9,2,"R2rev",7,3
"4.R2rev",6,10,2,"R2rev",7,4
"1.R4",6,7,2,"R4",6,1
"2.R4",6,8,2,"R4",4,2
"3.R4",6,9,2,"R4",3,3
"4.R4",6,10,2,"R4",3,4
"1.R6rev",6,7,2,"R6rev",7,1
"2.R6rev",6,8,2,"R6rev",6,2
"3.R6rev",6,9,2,"R6rev",3,3
"4.R6rev",6,10,2,"R6rev",6,4
"1.R8",6,7,2,"R8",6,1
"2.R8",6,8,2,"R8",5,2
"3.R8",6,9,2,"R8",4,3
"4.R8",6,10,2,"R8",3,4
"1.R13",6,7,2,"R13",5,1
"2.R13",6,8,2,"R13",5,2
"3.R13",6,9,2,"R13",4,3
"4.R13",6,10,2,"R13",3,4
"1.R14",6,7,2,"R14",6,1
"2.R14",6,8,2,"R14",6,2
"3.R14",6,9,2,"R14",4,3
"4.R14",6,10,2,"R14",3,4
"1.R15",6,7,2,"R15",7,1
"2.R15",6,8,2,"R15",4,2
"3.R15",6,9,2,"R15",2,3
"4.R15",6,10,2,"R15",2,4
"1.R17rev",6,7,2,"R17rev",7,1
"2.R17rev",6,8,2,"R17rev",7,2
"3.R17rev",6,9,2,"R17rev",7,3
"4.R17rev",6,10,2,"R17rev",7,4
"5.R1",7,6,2,"R1",4,5
"6.R1",7,8,2,"R1",5,6
"7.R1",7,9,2,"R1",4,7
"8.R1",7,10,2,"R1",4,8
"5.R2rev",7,6,2,"R2rev",6,5
"6.R2rev",7,8,2,"R2rev",6,6
"7.R2rev",7,9,2,"R2rev",7,7
"8.R2rev",7,10,2,"R2rev",6,8
"5.R4",7,6,2,"R4",4,5
"6.R4",7,8,2,"R4",5,6
"7.R4",7,9,2,"R4",3,7
"8.R4",7,10,2,"R4",3,8
"5.R6rev",7,6,2,"R6rev",5,5
"6.R6rev",7,8,2,"R6rev",7,6
"7.R6rev",7,9,2,"R6rev",6,7
"8.R6rev",7,10,2,"R6rev",6,8
"5.R8",7,6,2,"R8",5,5
"6.R8",7,8,2,"R8",5,6
"7.R8",7,9,2,"R8",4,7
"8.R8",7,10,2,"R8",4,8
"5.R13",7,6,2,"R13",4,5
"6.R13",7,8,2,"R13",5,6
"7.R13",7,9,2,"R13",4,7
"8.R13",7,10,2,"R13",4,8
"5.R14",7,6,2,"R14",4,5
