"","ID","Group","YOB","Age","Gender","Sex","IndividScore","Est_Score","Overconfidence","Group_Quiz_Score","Group_Bonus_Score","Nominated","mode_influential","initial_influential","mode_learn","initial_learn","aveP","aveD","aveInf","aveLik","OverCS","OConfBIN","ScoreCS","AgeCS","GroupID","aveDcs","avePcs","aveInfCS","aveLikCS"
"1",6,2,1975,43,"F",1,27,20,-7,30,4,0,6,1,8,0,0.856481481481482,0.416666666666667,0.777777777777778,1,-0.358952865855424,0,-0.421148953102164,-0.162038918773196,10,1.09909748388233,0.824047088311046,0.94483191341184,1.10413333037828
"2",7,2,1954,64,"M",0,24,31,7,30,4,1,6,0,8,0,0.796296296296296,0.390625,0.708333333333333,0.895833333333333,1.65711278779864,1,-1.19865471267539,0.814296844974161,10,0.897010159220771,0.261386718022449,0.514115242269903,0.0872340103007645
"3",8,2,1980,38,"M",0,25,25,0,30,4,0,6,0,8,1,0.726851851851852,0.234375,0.5,0.9375,0.649079960971608,0,-0.93948612615098,-0.394499814903519,10,-0.315513788748554,-0.387836786156689,-0.778034771155895,0.493993738331773
"4",9,2,1992,26,"M",0,28,14,-14,30,4,0,6,0,8,0,0.597222222222222,0.161458333333333,0.277777777777778,0.875,-1.36698569268246,0,-0.161980366577755,-0.952405965616295,10,-0.881358297800909,-1.59972066062442,-2.15632811881008,-0.116145853714736
"5",10,2,1992,26,"M",0,29,21,-8,30,4,0,6,0,8,0,0.564814814814815,0.234375,0.319444444444444,0.833333333333333,-0.502957555402143,0,0.0971882199466532,-0.952405965616295,10,-0.315513788748554,-1.90269162924135,-1.89789811612492,-0.522905581745744
"6",11,3,1981,37,"F",1,25,15,-10,35,3,0,14,0,0,0,0.847222222222222,0.177083333333334,0.458333333333333,0.958333333333333,-0.790966934495581,0,-0.93948612615098,-0.440991994129584,21,-0.760105903003969,0.737483954420487,-1.03646477384106,0.697373602347273
"7",12,3,1975,43,"F",1,27,25,-2,35,3,0,14,0,0,0,0.888888888888889,0.166666666666667,0.5,0.958333333333333,0.36107058187817,0,-0.421148953102164,-0.162038918773196,21,-0.840940832868593,1.12701805692798,-0.778034771155895,0.697373602347273
"8",13,3,1954,64,"M",0,32,36,4,35,3,1,14,0,0,0,0.560185185185185,0.395833333333333,0.763888888888889,0.645833333333333,1.22509871915848,1,0.874693979519878,0.814296844974161,21,0.937427624153079,-1.94597319618663,0.858688579183452,-2.35332435788527
"9",14,3,1954,64,"F",1,28,28,0,35,3,0,14,1,0,0,0.902777777777778,0.447916666666667,0.763888888888889,1,0.649079960971608,0,-0.161980366577755,0.814296844974161,21,1.34160227347619,1.25686275776381,0.858688579183452,1.10413333037828
"10",15,3,1970,48,"F",1,30,32,2,35,3,0,14,0,0,0,0.699074074074074,0.515625,0.777777777777778,0.854166666666667,0.937089340065046,1,0.356356806471062,0.0704219773571274,21,1.86702931759623,-0.647526187828348,0.94483191341184,-0.319525717730236
"11",16,4,1954,64,"F",1,33,31,-2,36,6,0,20,0,20,0,0.777777777777778,0.145833333333333,0.685185185185185,0.944444444444444,0.36107058187817,0,1.13386256604429,0.814296844974161,25,-1.00261069259784,0.0882604502413496,0.370543018555926,0.561787026336936
"12",17,4,1937,81,"F",1,28,20,-8,36,6,0,20,0,20,0,0.851851851851852,0.131944444444444,0.388888888888889,0.944444444444444,-0.502957555402143,0,-0.161980366577755,1.60466389181726,25,-1.110390599084,0.780765521365767,-1.46718144498299,0.561787026336936
"13",18,4,1947,71,"F",1,35,20,-15,36,6,0,20,0,20,0,0.777777777777778,0.215277777777778,0.462962962962963,0.888888888888889,-1.51099038222918,0,1.6521997390931,1.13974209955661,25,-0.463711160167026,0.0882604502413496,-1.00775032909826,0.0194407222956003
"14",19,4,1951,67,"F",1,25,20,-5,36,6,0,20,0,20,0,0.717592592592593,0.161458333333334,0.430555555555556,0.916666666666667,-0.0709434867619864,0,-0.93948612615098,0.953773382652355,25,-0.881358297800901,-0.474399920047238,-1.20875144229783,0.290613874316273
"15",20,4,1946,72,"F",1,33,30,-3,36,6,1,20,1,20,1,0.839506172839506,0.256944444444445,0.777777777777778,0.944444444444444,0.217065892331451,0,1.13386256604429,1.18623427878268,25,-0.140371440708536,0.665348009511694,0.94483191341184,0.561787026336936
"16",21,5,1947,71,"M",0,26,20,-6,35,5,0,22,0,21,1,0.882716049382716,0.361111111111111,0.592592592592593,0.888888888888889,-0.214948176308705,0,-0.680317539626572,1.13974209955661,26,0.667977857937676,1.06930930100094,-0.203745876299981,0.0194407222956003
"17",22,5,1946,72,"M",0,28,12,-16,35,5,0,22,1,21,0,0.87037037037037,0.46875,0.555555555555556,0.958333333333333,-1.65499507177589,0,-0.161980366577755,1.18623427878268,26,1.50327213320543,0.953891789146867,-0.433461434242345,0.697373602347273
"18",23,5,1956,62,"M",0,36,32,-4,35,5,1,22,0,21,0,0.694444444444444,0.177083333333333,0.444444444444444,0.916666666666667,0.0730612027847324,0,1.91136832561751,0.721312486522032,26,-0.760105903003976,-0.690807754773627,-1.12260810806944,0.290613874316273
"19",24,5,1941,77,"M",0,27,30,3,35,5,0,22,0,21,0,0.782407407407407,0.1875,0.541666666666667,0.875,1.08109402961176,1,-0.421148953102164,1.418695174913,26,-0.679270973139352,0.13154201718662,-0.519604768470733,-0.116145853714736
"20",25,5,1950,68,"M",0,33,25,-8,35,5,0,22,0,21,0,0.691358024691358,0.4375,0.537037037037037,0.861111111111111,-0.502957555402143,0,1.13386256604429,1.00026556187842,26,1.26076734361157,-0.719662132737141,-0.548319213213531,-0.251732429725072
"21",26,6,1960,58,"M",0,32,25,-7,36,5,1,0,0,0,0,0.675925925925926,0.270833333333333,0.722222222222222,0.791666666666667,-0.358952865855424,0,0.874693979519878,0.535343769617774,27,-0.0325915342223811,-0.863934022554726,0.60025857649829,-0.929665309776745
"22",33,7,1988,30,"F",1,26,40,14,31,5,0,31,0,0,0,0.62962962962963,0.319444444444444,0.388888888888889,0.888888888888889,2.66514561462567,1,-0.680317539626572,-0.766437248712036,28,0.344638138479186,-1.29674969200749,-1.46718144498299,0.0194407222956003
"23",36,8,1968,50,"M",0,30,35,5,32,4,1,0,0,0,0,0.740740740740741,0.21875,0.666666666666667,0.75,1.3691034087052,1,0.356356806471062,0.163406335809257,29,-0.436766183545487,-0.257992085320859,0.255685239584747,-1.33642503780775
"24",37,8,1964,54,"M",0,28,34,6,32,4,0,0,0,0,0,0.777777777777778,0.255208333333333,0.638888888888889,0.895833333333333,1.51310809825192,1,-0.161980366577755,0.349375052713515,29,-0.153843929019314,0.0882604502413496,0.0833985711279722,0.0872340103007645
"25",38,8,1980,38,"F",1,31,28,-3,32,4,0,0,0,0,0,0.601851851851852,0.109375,0.305555555555556,0.833333333333333,0.217065892331451,0,0.61552539299547,-0.394499814903519,29,-1.28553294712401,-1.55643909367914,-1.98404145035331,-0.522905581745744
"26",39,8,1962,56,"F",1,28,32,4,32,4,0,0,0,0,0,0.847222222222222,0.369791666666667,0.861111111111111,0.8125,1.22509871915848,1,-0.161980366577755,0.442359411165644,29,0.735340299491531,0.737483954420487,1.46169191878216,-0.726285445761244
"27",40,8,1970,48,"F",1,26,25,-1,32,4,0,0,0,0,0,0.430555555555556,0.265625,0.277777777777778,0.625,0.505075271424889,0,-0.680317539626572,0.0704219773571274,29,-0.0730089991546892,-3.15785707065436,-2.15632811881008,-2.55670422190077
"28",41,9,1942,76,"M",0,29,20,-9,32,4,0,0,0,0,0,0.728395061728395,0.347222222222222,0.537037037037037,0.888888888888889,-0.646962244948862,0,0.0971882199466532,1.37220299568694,30,0.560197951451512,-0.373409597174932,-0.548319213213531,0.0194407222956003
"29",42,9,1943,75,"M",0,24,29,5,32,4,0,0,0,0,0,0.697530864197531,0.368055555555555,0.574074074074074,0.805555555555556,1.3691034087052,1,-1.19865471267539,1.32571081646087,30,0.721867811180753,-0.661953376810105,-0.318603655271167,-0.794078733766408
"30",43,9,1947,71,"M",0,22,15,-7,32,4,0,0,0,0,0,0.606481481481482,0.427083333333333,0.555555555555556,0.854166666666667,-0.358952865855424,0,-1.71699188572421,1.13974209955661,30,1.17993241374694,-1.51315752673387,-0.433461434242345,-0.319525717730236
"31",44,9,1965,53,"M",0,33,27,-6,32,4,1,0,0,0,0,0.731481481481482,0.276041666666667,0.791666666666667,0.854166666666667,-0.214948176308705,0,1.13386256604429,0.302882873487451,30,0.00782593070993524,-0.344555219211409,1.03097524764023,-0.319525717730236
"32",45,9,1948,70,"M",0,26,28,2,32,4,0,0,0,0,0,0.828703703703704,0.265625,0.791666666666667,0.958333333333333,0.937089340065046,1,-0.680317539626572,1.09324992033055,30,-0.0730089991546892,0.564357686639388,1.03097524764023,0.697373602347273
"33",47,10,1947,71,"M",0,34,35,1,34,6,1,47,1,47,1,0.777777777777778,0.125,1,1,0.793084650518327,1,1.3930311525687,1.13974209955661,1,-1.16428055232708,0.0882604502413496,2.32312526106602,1.10413333037828
"34",48,10,1943,75,"F",1,20,20,0,34,6,0,47,0,47,0,0.703703703703704,0.333333333333333,0.333333333333333,0.833333333333333,0.649079960971608,0,-2.23532905877302,1.32571081646087,1,0.452418044965349,-0.604244620883067,-1.81175478189654,-0.522905581745744
"35",49,10,1926,92,"M",0,22,20,-2,34,6,0,47,0,47,0,0.842592592592593,0.375,0.638888888888889,0.75,0.36107058187817,0,-1.71699188572421,2.11607786330397,1,0.775757764423839,0.694202387475217,0.0833985711279722,-1.33642503780775
