"ID"	"Group"	"YOB"	"Age"	"Gender"	"Sex"	"IndividScore"	"Est_Score"	"Overconfidence"	"Group_Quiz_Score"	"Group_Bonus_Score"	"Nominated"	"mode_influential"	"initial_influential"	"mode_learn"	"intial_learn"
"1"	6	2	"1975"	"43"	"F"	"1"	27	"20"	"-7"	30	4	0	6	1	8	0
"2"	7	2	"1954"	"64"	"M"	"0"	24	"31"	"7"	30	4	1	6	0	8	0
"3"	8	2	"1980"	"38"	"M"	"0"	25	"25"	"0"	30	4	0	6	0	8	1
"4"	9	2	"1992"	"26"	"M"	"0"	28	"14"	"-14"	30	4	0	6	0	8	0
"5"	10	2	"1992"	"26"	"M"	"0"	29	"21"	"-8"	30	4	0	6	0	8	0
"6"	11	3	"1981"	"37"	"F"	"1"	25	"15"	"-10"	35	3	0	14	0	0	0
"7"	12	3	"1975"	"43"	"F"	"1"	27	"25"	"-2"	35	3	0	14	0	0	0
"8"	13	3	"1954"	"64"	"M"	"0"	32	"36"	"4"	35	3	1	14	0	0	0
"9"	14	3	"1954"	"64"	"F"	"1"	28	"28"	"0"	35	3	0	14	1	0	0
"10"	15	3	"1970"	"48"	"F"	"1"	30	"32"	"2"	35	3	0	14	0	0	0
"11"	16	4	"1954"	"64"	"F"	"1"	33	"31"	"-2"	36	6	0	20	0	20	0
"12"	17	4	"1937"	"81"	"F"	"1"	28	"20"	"-8"	36	6	0	20	0	20	0
"13"	18	4	"1947"	"71"	"F"	"1"	35	"20"	"-15"	36	6	0	20	0	20	0
"14"	19	4	"1951"	"67"	"F"	"1"	25	"20"	"-5"	36	6	0	20	0	20	0
"15"	20	4	"1946"	"72"	"F"	"1"	33	"30"	"-3"	36	6	1	20	1	20	1
"16"	21	5	"1947"	"71"	"M"	"0"	26	"20"	"-6"	35	5	0	22	0	21	1
"17"	22	5	"1946"	"72"	"M"	"0"	28	"12"	"-16"	35	5	0	22	1	21	0
"18"	23	5	"1956"	"62"	"M"	"0"	36	"32"	"-4"	35	5	1	22	0	21	0
"19"	24	5	"1941"	"77"	"M"	"0"	27	"30"	"3"	35	5	0	22	0	21	0
"20"	25	5	"1950"	"68"	"M"	"0"	33	"25"	"-8"	35	5	0	22	0	21	0
"21"	26	6	"1960"	"58"	"M"	"0"	32	"25"	"-7"	36	5	1	0	0	0	0
"22"	27	6	"1952"	"66"	"na"	"na"	35	"32"	"-3"	36	5	0	0	0	0	0
"23"	28	6	"na"	"#VALUE!"	"na"	"na"	34	"35"	"1"	36	5	0	0	0	0	0
"24"	29	6	"1956"	"62"	"na"	"na"	33	"26"	"-7"	36	5	0	0	0	0	0
"25"	30	6	"1952"	"66"	"M"	"0"	32	"na"	"na"	36	5	0	0	0	0	0
"26"	31	7	"1981"	"37"	"M"	"0"	26	"na"	"na"	31	5	1	31	1	0	0
"27"	32	7	"na"	"#VALUE!"	"na"	"na"	32	"34"	"2"	31	5	0	31	0	0	0
"28"	33	7	"1988"	"30"	"F"	"1"	26	"40"	"14"	31	5	0	31	0	0	0
"29"	34	7	"na"	"#VALUE!"	"na"	"na"	21	"20"	"-1"	31	5	0	31	0	0	0
"30"	35	7	"na"	"#VALUE!"	"na"	"na"	35	"15"	"-20"	31	5	0	31	0	0	0
"31"	36	8	"1968"	"50"	"M"	"0"	30	"35"	"5"	32	4	1	0	0	0	0
"32"	37	8	"1964"	"54"	"M"	"0"	28	"34"	"6"	32	4	0	0	0	0	0
"33"	38	8	"1980"	"38"	"F"	"1"	31	"28"	"-3"	32	4	0	0	0	0	0
"34"	39	8	"1962"	"56"	"F"	"1"	28	"32"	"4"	32	4	0	0	0	0	0
"35"	40	8	"1970"	"48"	"F"	"1"	26	"25"	"-1"	32	4	0	0	0	0	0
"36"	41	9	"1942"	"76"	"M"	"0"	29	"20"	"-9"	32	4	0	0	0	0	0
"37"	42	9	"1943"	"75"	"M"	"0"	24	"29"	"5"	32	4	0	0	0	0	0
"38"	43	9	"1947"	"71"	"M"	"0"	22	"15"	"-7"	32	4	0	0	0	0	0
"39"	44	9	"1965"	"53"	"M"	"0"	33	"27"	"-6"	32	4	1	0	0	0	0
"40"	45	9	"1948"	"70"	"M"	"0"	26	"28"	"2"	32	4	0	0	0	0	0
"41"	46	10	"na"	"#VALUE!"	"na"	"na"	32	"20"	"-12"	34	6	0	47	0	47	0
"42"	47	10	"1947"	"71"	"M"	"0"	34	"35"	"1"	34	6	1	47	1	47	1
"43"	48	10	"1943"	"75"	"F"	"1"	20	"20"	"0"	34	6	0	47	0	47	0
"44"	49	10	"1926"	"92"	"M"	"0"	22	"20"	"-2"	34	6	0	47	0	47	0
"45"	50	10	"1941"	"77"	"M"	"0"	29	"30"	"1"	34	6	0	47	0	47	0
"46"	56	12	"na"	"#VALUE!"	"F"	"1"	29	"31"	"2"	34	5	0	60	0	56	1
"47"	57	12	"na"	"#VALUE!"	"na"	"na"	30	"25"	"-5"	34	5	0	60	0	56	0
"48"	58	12	"1962"	"56"	"F"	"1"	28	"20"	"-8"	34	5	0	60	0	56	0
"49"	59	12	"1954"	"64"	"M"	"0"	31	"29"	"-2"	34	5	1	60	0	56	0
"50"	60	12	"1951"	"67"	"M"	"0"	36	"10"	"-26"	34	5	0	60	1	56	0
"51"	61	13	"1970"	"48"	"M"	"0"	26	"26"	"0"	35	5	0	63	0	0	0
"52"	62	13	"1969"	"49"	"F"	"1"	30	"25"	"-5"	35	5	0	63	0	0	0
"53"	63	13	"1963"	"55"	"F"	"1"	33	"25"	"-8"	35	5	0	63	1	0	0
"54"	64	13	"1969"	"49"	"F"	"1"	29	"20"	"-9"	35	5	1	63	0	0	0
"55"	65	13	"1970"	"48"	"F"	"1"	32	"24"	"-8"	35	5	0	63	0	0	0
"56"	66	14	"1938"	"80"	"F"	"1"	18	"20"	"2"	20	2	0	0	0	0	0
"57"	67	14	"1934"	"84"	"M"	"0"	20	"20"	"0"	20	2	0	0	0	0	0
"58"	68	14	"1939"	"79"	"F"	"1"	23	"10"	"-13"	20	2	0	0	0	0	0
"59"	69	14	"1925"	"93"	"F"	"1"	26	"20"	"-6"	20	2	0	0	0	0	0
"60"	70	14	"1929"	"89"	"F"	"1"	23	"20"	"-3"	20	2	1	0	0	0	0
"61"	71	15	"1929"	"89"	"M"	"0"	26	"30"	"4"	32	7	0	75	0	0	0
"62"	72	15	"1942"	"76"	"F"	"1"	28	"24"	"-4"	32	7	0	75	0	0	0
"63"	73	15	"1928"	"90"	"F"	"1"	22	"20"	"-2"	32	7	0	75	0	0	0
"64"	74	15	"1938"	"80"	"F"	"1"	29	"20"	"-9"	32	7	0	75	0	0	0
"65"	75	15	"1931"	"87"	"M"	"0"	33	"24"	"-9"	32	7	1	75	1	0	0
"66"	76	16	"1996"	"22"	"M"	"0"	29	"25"	"-4"	34	4	0	76	1	0	0
"67"	77	16	"1997"	"21"	"F"	"1"	29	"28"	"-1"	34	4	0	76	0	0	0
"68"	78	16	"1996"	"22"	"F"	"1"	33	"29"	"-4"	34	4	0	76	0	0	0
"69"	79	16	"1998"	"20"	"F"	"1"	22	"2"	"-20"	34	4	0	76	0	0	0
"70"	80	16	"1997"	"21"	"F"	"1"	28	"23"	"-5"	34	4	1	76	0	0	0
"71"	81	17	"1987"	"31"	"na"	"na"	29	"16"	"-13"	33	4	1	82	0	82	0
"72"	82	17	"1997"	"21"	"F"	"1"	29	"20"	"-9"	33	4	0	82	1	82	1
"73"	83	17	"1998"	"20"	"F"	"1"	26	"25"	"-1"	33	4	0	82	0	82	0
"74"	84	17	"1998"	"20"	"F"	"1"	26	"20"	"-6"	33	4	0	82	0	82	0
"75"	85	17	"1998"	"20"	"F"	"1"	32	"20"	"-12"	33	4	0	82	0	82	0
"76"	86	18	"1959"	"59"	"F"	"1"	28	"25"	"-3"	32	4	0	87	0	86	1
"77"	87	18	"1966"	"52"	"F"	"1"	28	"30"	"2"	32	4	1	87	1	86	0
"78"	88	18	"1950"	"68"	"F"	"1"	30	"35"	"5"	32	4	0	87	0	86	0
"79"	89	18	"1956"	"62"	"F"	"1"	29	"20"	"-9"	32	4	0	87	0	86	0
"80"	90	18	"1972"	"46"	"F"	"1"	30	"20"	"-10"	32	4	0	87	0	86	0
"81"	91	19	"1999"	"19"	"F"	"1"	30	"20"	"-10"	30	3	0	0	0	0	0
"82"	92	19	"1998"	"20"	"F"	"1"	27	"24"	"-3"	30	3	1	0	0	0	0
"83"	93	19	"1998"	"20"	"F"	"1"	27	"15"	"-12"	30	3	0	0	0	0	0
"84"	94	19	"1998"	"20"	"F"	"1"	27	"9"	"-18"	30	3	0	0	0	0	0
"85"	95	19	"1999"	"19"	"F"	"1"	21	"20"	"-1"	30	3	0	0	0	0	0
"86"	96	20	"1998"	"20"	"M"	"0"	28	"40"	"12"	34	6	0	0	0	96	1
"87"	97	20	"1995"	"23"	"F"	"1"	33	"20"	"-13"	34	6	1	0	0	96	0
"88"	98	20	"1998"	"20"	"F"	"1"	28	"20"	"-8"	34	6	0	0	0	96	0
"89"	99	20	"1996"	"22"	"F"	"1"	28	"28"	"0"	34	6	0	0	0	96	0
"90"	100	20	"1998"	"20"	"F"	"1"	23	"15"	"-8"	34	6	0	0	0	96	0
"91"	101	21	"1998"	"20"	"F"	"1"	23	"22"	"-1"	32	3	0	0	0	0	0
"92"	102	21	"1997"	"21"	"F"	"1"	29	"25"	"-4"	32	3	0	0	0	0	0
"93"	103	21	"1995"	"23"	"F"	"1"	29	"29"	"0"	32	3	1	0	0	0	0
"94"	104	21	"1998"	"20"	"F"	"1"	28	"14"	"-14"	32	3	0	0	0	0	0
"95"	105	21	"1995"	"23"	"F"	"1"	31	"31"	"0"	32	3	0	0	0	0	0
"96"	106	22	"1992"	"26"	"M"	"0"	28	"27"	"-1"	38	5	0	110	0	109	0
"97"	107	22	"1985"	"33"	"F"	"1"	30	"20"	"-10"	38	5	0	110	0	109	0
"98"	108	22	"1996"	"22"	"F"	"1"	24	"20"	"-4"	38	5	0	110	0	109	0
"99"	109	22	"1973"	"45"	"F"	"1"	35	"31"	"-4"	38	5	1	110	0	109	1
"100"	110	22	"1972"	"46"	"F"	"1"	28	"15"	"-13"	38	5	0	110	1	109	0
"101"	111	23	"na"	"#VALUE!"	"M"	"0"	22	"27"	"5"	26	1	0	112	0	0	0
"102"	112	23	"1996"	"22"	"F"	"1"	32	"25"	"-7"	26	1	0	112	1	0	0
"103"	113	23	"1996"	"22"	"F"	"1"	24	"15"	"-9"	26	1	0	112	0	0	0
"104"	114	23	"1995"	"23"	"F"	"1"	26	"15"	"-11"	26	1	1	112	0	0	0
"105"	115	23	"1995"	"23"	"F"	"1"	24	"19"	"-5"	26	1	0	112	0	0	0
"106"	116	24	"1968"	"50"	"M"	"0"	31	"20"	"-11"	32	5	0	118	0	119	0
"107"	117	24	"1963"	"55"	"M"	"0"	26	"10"	"-16"	32	5	0	118	0	119	0
"108"	118	24	"1960"	"58"	"F"	"1"	29	"15"	"-14"	32	5	0	118	1	119	0
"109"	119	24	"1962"	"56"	"M"	"0"	32	"34"	"2"	32	5	1	118	0	119	1
