"","rater_id","rated_ID","Group","domItem","dominanceRatings","id"
"1.R3",6,7,2,"R3",3,1
"2.R3",6,8,2,"R3",1,2
"3.R3",6,9,2,"R3",1,3
"4.R3",6,10,2,"R3",1,4
"5.R3",7,6,2,"R3",3,5
"6.R3",7,8,2,"R3",2,6
"7.R3",7,9,2,"R3",1,7
"8.R3",7,10,2,"R3",4,8
"9.R3",8,6,2,"R3",5,9
"10.R3",8,7,2,"R3",4,10
"11.R3",8,9,2,"R3",1,11
"12.R3",8,10,2,"R3",2,12
"13.R3",9,6,2,"R3",4,13
"14.R3",9,7,2,"R3",2,14
"15.R3",9,8,2,"R3",2,15
"16.R3",9,10,2,"R3",1,16
"17.R3",10,6,2,"R3",4,17
"18.R3",10,7,2,"R3",2,18
"19.R3",10,8,2,"R3",2,19
"20.R3",10,9,2,"R3",2,20
"21.R3",11,12,3,"R3",1,21
"22.R3",11,13,3,"R3",2,22
"23.R3",11,14,3,"R3",4,23
"24.R3",11,15,3,"R3",1,24
"25.R3",12,11,3,"R3",1,25
"26.R3",12,13,3,"R3",7,26
"27.R3",12,14,3,"R3",1,27
"28.R3",12,15,3,"R3",3,28
"29.R3",13,11,3,"R3",4,29
"30.R3",13,12,3,"R3",2,30
"31.R3",13,14,3,"R3",6,31
"32.R3",13,15,3,"R3",5,32
"33.R3",14,11,3,"R3",1,33
"34.R3",14,12,3,"R3",3,34
"35.R3",14,13,3,"R3",4,35
"36.R3",14,15,3,"R3",4,36
"37.R3",15,11,3,"R3",1,37
"38.R3",15,12,3,"R3",1,38
"39.R3",15,13,3,"R3",3,39
"40.R3",15,14,3,"R3",4,40
"41.R3",16,17,4,"R3",1,41
"42.R3",16,18,4,"R3",1,42
"43.R3",16,19,4,"R3",1,43
"44.R3",16,20,4,"R3",5,44
"45.R3",17,16,4,"R3",2,45
"46.R3",17,18,4,"R3",4,46
"47.R3",17,19,4,"R3",1,47
"48.R3",17,20,4,"R3",3,48
"49.R3",18,16,4,"R3",1,49
"50.R3",18,17,4,"R3",1,50
"51.R3",18,19,4,"R3",1,51
"52.R3",18,20,4,"R3",1,52
"53.R3",20,16,4,"R3",2,53
"54.R3",20,17,4,"R3",1,54
"55.R3",20,18,4,"R3",1,55
"56.R3",20,19,4,"R3",1,56
"57.R3",21,22,5,"R3",6,57
"58.R3",21,23,5,"R3",2,58
"59.R3",21,24,5,"R3",2,59
"60.R3",21,25,5,"R3",5,60
"61.R3",22,21,5,"R3",4,61
"62.R3",22,23,5,"R3",1,62
"63.R3",22,24,5,"R3",1,63
"64.R3",23,21,5,"R3",5,64
"65.R3",23,22,5,"R3",5,65
"66.R3",23,24,5,"R3",4,66
"67.R3",23,25,5,"R3",5,67
"68.R3",24,22,5,"R3",7,68
"69.R3",24,23,5,"R3",4,69
"70.R3",24,25,5,"R3",4,70
"71.R3",25,21,5,"R3",1,71
"72.R3",25,22,5,"R3",1,72
"73.R3",25,23,5,"R3",1,73
"74.R3",25,24,5,"R3",1,74
"75.R3",26,28,6,"R3",4,75
"76.R3",26,29,6,"R3",1,76
"77.R3",26,30,6,"R3",1,77
"78.R3",28,26,6,"R3",4,78
"79.R3",28,27,6,"R3",3,79
"80.R3",28,29,6,"R3",3,80
"81.R3",28,30,6,"R3",5,81
"82.R3",29,26,6,"R3",3,82
"83.R3",29,27,6,"R3",2,83
"84.R3",29,28,6,"R3",1,84
"85.R3",29,30,6,"R3",1,85
"86.R3",32,31,7,"R3",6,86
"87.R3",32,33,7,"R3",1,87
"88.R3",32,34,7,"R3",1,88
"89.R3",32,35,7,"R3",1,89
"90.R3",33,31,7,"R3",4,90
"91.R3",33,34,7,"R3",6,91
"92.R3",33,35,7,"R3",1,92
"93.R3",34,31,7,"R3",6,93
"94.R3",34,32,7,"R3",4,94
"95.R3",34,33,7,"R3",4,95
"96.R3",34,35,7,"R3",6,96
"97.R3",35,31,7,"R3",6,97
"98.R3",35,32,7,"R3",1,98
"99.R3",35,33,7,"R3",4,99
"100.R3",35,34,7,"R3",4,100
"101.R3",36,37,8,"R3",4,101
"102.R3",36,38,8,"R3",2,102
"103.R3",36,39,8,"R3",4,103
"104.R3",36,40,8,"R3",4,104
"105.R3",37,36,8,"R3",1,105
"106.R3",37,38,8,"R3",1,106
"107.R3",37,39,8,"R3",2,107
"108.R3",37,40,8,"R3",3,108
"109.R3",38,36,8,"R3",2,109
"110.R3",38,37,8,"R3",2,110
"111.R3",38,39,8,"R3",2,111
"112.R3",38,40,8,"R3",1,112
"113.R3",39,36,8,"R3",2,113
"114.R3",39,37,8,"R3",1,114
"115.R3",39,38,8,"R3",1,115
"116.R3",39,40,8,"R3",1,116
"117.R3",40,36,8,"R3",2,117
"118.R3",40,37,8,"R3",2,118
"119.R3",40,38,8,"R3",1,119
"120.R3",40,39,8,"R3",5,120
"121.R3",41,42,9,"R3",3,121
"122.R3",41,43,9,"R3",2,122
"123.R3",41,44,9,"R3",1,123
"124.R3",41,45,9,"R3",2,124
"125.R3",42,41,9,"R3",2,125
"126.R3",42,43,9,"R3",1,126
"127.R3",42,44,9,"R3",3,127
"128.R3",42,45,9,"R3",4,128
"129.R3",43,42,9,"R3",3,129
"130.R3",43,44,9,"R3",3,130
"131.R3",43,45,9,"R3",2,131
"132.R3",44,41,9,"R3",4,132
"133.R3",44,42,9,"R3",6,133
"134.R3",44,43,9,"R3",5,134
"135.R3",44,45,9,"R3",5,135
"136.R3",45,41,9,"R3",3,136
"137.R3",45,43,9,"R3",5,137
"138.R3",45,44,9,"R3",4,138
"139.R3",46,50,10,"R3",2,139
"140.R3",47,46,10,"R3",6,140
"141.R3",47,48,10,"R3",3,141
"142.R3",47,49,10,"R3",5,142
"143.R3",47,50,10,"R3",2,143
"144.R3",48,46,10,"R3",1,144
"145.R3",48,47,10,"R3",1,145
"146.R3",48,49,10,"R3",1,146
"147.R3",48,50,10,"R3",1,147
"148.R3",49,50,10,"R3",4,148
"149.R3",56,57,12,"R3",2,149
"150.R3",56,58,12,"R3",5,150
"151.R3",56,59,12,"R3",6,151
"152.R3",56,60,12,"R3",5,152
"153.R3",57,56,12,"R3",4,153
"154.R3",57,58,12,"R3",1,154
"155.R3",57,59,12,"R3",2,155
"156.R3",57,60,12,"R3",1,156
"157.R3",58,56,12,"R3",1,157
"158.R3",58,57,12,"R3",1,158
"159.R3",58,59,12,"R3",1,159
"160.R3",58,60,12,"R3",6,160
"161.R3",59,56,12,"R3",4,161
"162.R3",59,57,12,"R3",3,162
"163.R3",59,58,12,"R3",5,163
"164.R3",59,60,12,"R3",5,164
"165.R3",60,56,12,"R3",2,165
"166.R3",60,57,12,"R3",1,166
"167.R3",60,58,12,"R3",1,167
"168.R3",60,59,12,"R3",1,168
"169.R3",61,62,13,"R3",3,169
"170.R3",61,63,13,"R3",5,170
"171.R3",61,64,13,"R3",5,171
"172.R3",61,65,13,"R3",4,172
"173.R3",62,61,13,"R3",2,173
"174.R3",62,63,13,"R3",2,174
"175.R3",62,64,13,"R3",3,175
"176.R3",62,65,13,"R3",2,176
"177.R3",63,61,13,"R3",2,177
"178.R3",63,62,13,"R3",3,178
"179.R3",64,61,13,"R3",3,179
"180.R3",64,62,13,"R3",6,180
"181.R3",64,63,13,"R3",2,181
"182.R3",64,65,13,"R3",3,182
"183.R3",65,61,13,"R3",4,183
"184.R3",65,62,13,"R3",2,184
"185.R3",65,63,13,"R3",4,185
"186.R3",65,64,13,"R3",5,186
"187.R3",66,67,14,"R3",1,187
"188.R3",69,67,14,"R3",2,188
"189.R3",69,70,14,"R3",5,189
"190.R3",70,66,14,"R3",4,190
"191.R3",70,67,14,"R3",4,191
"192.R3",70,68,14,"R3",7,192
"193.R3",70,69,14,"R3",1,193
"194.R3",71,72,15,"R3",3,194
"195.R3",71,74,15,"R3",4,195
"196.R3",71,75,15,"R3",4,196
"197.R3",72,71,15,"R3",1,197
"198.R3",72,73,15,"R3",1,198
"199.R3",72,74,15,"R3",2,199
"200.R3",72,75,15,"R3",1,200
"201.R3",73,71,15,"R3",4,201
"202.R3",73,72,15,"R3",1,202
"203.R3",74,72,15,"R3",4,203
"204.R3",74,73,15,"R3",4,204
"205.R3",74,75,15,"R3",4,205
"206.R3",75,72,15,"R3",2,206
"207.R3",75,73,15,"R3",3,207
"208.R3",75,74,15,"R3",3,208
"209.R3",77,76,16,"R3",1,209
"210.R3",77,78,16,"R3",1,210
"211.R3",77,79,16,"R3",1,211
"212.R3",77,80,16,"R3",4,212
"213.R3",78,76,16,"R3",3,213
"214.R3",78,77,16,"R3",4,214
"215.R3",78,79,16,"R3",1,215
"216.R3",78,80,16,"R3",5,216
"217.R3",79,76,16,"R3",3,217
"218.R3",79,77,16,"R3",4,218
"219.R3",79,78,16,"R3",4,219
"220.R3",79,80,16,"R3",4,220
"221.R3",80,76,16,"R3",2,221
"222.R3",80,77,16,"R3",2,222
"223.R3",80,78,16,"R3",4,223
"224.R3",80,79,16,"R3",1,224
"225.R3",81,82,17,"R3",3,225
"226.R3",81,83,17,"R3",2,226
"227.R3",81,84,17,"R3",3,227
"228.R3",81,85,17,"R3",6,228
"229.R3",82,81,17,"R3",1,229
"230.R3",82,83,17,"R3",2,230
"231.R3",82,84,17,"R3",1,231
"232.R3",82,85,17,"R3",6,232
"233.R3",83,81,17,"R3",2,233
"234.R3",83,82,17,"R3",1,234
"235.R3",83,84,17,"R3",1,235
"236.R3",83,85,17,"R3",3,236
"237.R3",84,81,17,"R3",1,237
"238.R3",84,82,17,"R3",3,238
"239.R3",84,83,17,"R3",1,239
"240.R3",84,85,17,"R3",6,240
"241.R3",85,81,17,"R3",1,241
"242.R3",85,82,17,"R3",4,242
"243.R3",85,83,17,"R3",2,243
"244.R3",85,84,17,"R3",2,244
