"","rater_id","rated_ID","Group","presItem","prestigeRatings","id","Age","Sex","Score","OverConf","nominated","initInf","Liked","Inflntl","ScoreC","overconf","OverConfC","initLrn","raterId","ratedID","grpID","itemID"
"5.R1",7,6,2,"R1",4,5,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,108,94,10,1
"5.R2rev",7,6,2,"R2rev",6,5,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,108,94,10,6
"5.R4",7,6,2,"R4",4,5,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,108,94,10,7
"5.R6rev",7,6,2,"R6rev",5,5,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,108,94,10,8
"5.R8",7,6,2,"R8",5,5,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,108,94,10,9
"5.R13",7,6,2,"R13",4,5,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,108,94,10,2
"5.R14",7,6,2,"R14",4,5,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,108,94,10,3
"5.R15",7,6,2,"R15",4,5,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,108,94,10,4
"5.R17rev",7,6,2,"R17rev",7,5,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,108,94,10,5
"9.R1",8,6,2,"R1",7,9,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,118,94,10,1
"9.R2rev",8,6,2,"R2rev",7,9,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,118,94,10,6
"9.R4",8,6,2,"R4",6,9,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,118,94,10,7
"9.R6rev",8,6,2,"R6rev",7,9,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,118,94,10,8
"9.R8",8,6,2,"R8",7,9,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,118,94,10,9
"9.R13",8,6,2,"R13",7,9,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,118,94,10,2
"9.R14",8,6,2,"R14",7,9,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,118,94,10,3
"9.R15",8,6,2,"R15",7,9,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,118,94,10,4
"9.R17rev",8,6,2,"R17rev",6,9,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,118,94,10,5
"13.R1",9,6,2,"R1",7,13,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,127,94,10,1
"13.R2rev",9,6,2,"R2rev",7,13,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,127,94,10,6
"13.R4",9,6,2,"R4",7,13,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,127,94,10,7
"13.R6rev",9,6,2,"R6rev",7,13,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,127,94,10,8
"13.R8",9,6,2,"R8",7,13,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,127,94,10,9
"13.R13",9,6,2,"R13",7,13,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,127,94,10,2
"13.R14",9,6,2,"R14",7,13,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,127,94,10,3
"13.R15",9,6,2,"R15",6,13,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,127,94,10,4
"13.R17rev",9,6,2,"R17rev",7,13,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,127,94,10,5
"17.R1",10,6,2,"R1",6,17,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,1,94,10,1
"17.R2rev",10,6,2,"R2rev",7,17,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,1,94,10,6
"17.R4",10,6,2,"R4",5,17,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,1,94,10,7
"17.R6rev",10,6,2,"R6rev",6,17,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,1,94,10,8
"17.R8",10,6,2,"R8",6,17,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,1,94,10,9
"17.R13",10,6,2,"R13",5,17,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,1,94,10,2
"17.R14",10,6,2,"R14",6,17,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,1,94,10,3
"17.R15",10,6,2,"R15",7,17,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,1,94,10,4
"17.R17rev",10,6,2,"R17rev",7,17,43,1,27,33,0,1,1,0.777777777777778,-1.83891213389121,73,-2.44979079497908,0,1,94,10,5
"1.R1",6,7,2,"R1",6,1,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,99,105,10,1
"1.R2rev",6,7,2,"R2rev",6,1,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,99,105,10,6
"1.R4",6,7,2,"R4",6,1,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,99,105,10,7
"1.R6rev",6,7,2,"R6rev",7,1,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,99,105,10,8
"1.R8",6,7,2,"R8",6,1,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,99,105,10,9
"1.R13",6,7,2,"R13",5,1,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,99,105,10,2
"1.R14",6,7,2,"R14",6,1,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,99,105,10,3
"1.R15",6,7,2,"R15",7,1,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,99,105,10,4
"1.R17rev",6,7,2,"R17rev",7,1,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,99,105,10,5
"10.R1",8,7,2,"R1",6,10,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,118,105,10,1
"10.R2rev",8,7,2,"R2rev",6,10,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,118,105,10,6
"10.R4",8,7,2,"R4",5,10,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,118,105,10,7
"10.R6rev",8,7,2,"R6rev",6,10,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,118,105,10,8
"10.R8",8,7,2,"R8",6,10,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,118,105,10,9
"10.R13",8,7,2,"R13",6,10,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,118,105,10,2
"10.R14",8,7,2,"R14",6,10,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,118,105,10,3
"10.R15",8,7,2,"R15",7,10,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,118,105,10,4
"10.R17rev",8,7,2,"R17rev",6,10,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,118,105,10,5
"14.R1",9,7,2,"R1",6,14,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,127,105,10,1
"14.R2rev",9,7,2,"R2rev",6,14,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,127,105,10,6
"14.R4",9,7,2,"R4",4,14,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,127,105,10,7
"14.R6rev",9,7,2,"R6rev",7,14,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,127,105,10,8
"14.R8",9,7,2,"R8",7,14,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,127,105,10,9
"14.R13",9,7,2,"R13",6,14,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,127,105,10,2
"14.R14",9,7,2,"R14",4,14,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,127,105,10,3
"14.R15",9,7,2,"R15",4,14,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,127,105,10,4
"14.R17rev",9,7,2,"R17rev",7,14,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,127,105,10,5
"18.R1",10,7,2,"R1",5,18,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,1,105,10,1
"18.R2rev",10,7,2,"R2rev",5,18,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,1,105,10,6
"18.R4",10,7,2,"R4",4,18,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,1,105,10,7
"18.R6rev",10,7,2,"R6rev",6,18,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,1,105,10,8
"18.R8",10,7,2,"R8",6,18,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,1,105,10,9
"18.R13",10,7,2,"R13",5,18,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,1,105,10,2
"18.R14",10,7,2,"R14",5,18,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,1,105,10,3
"18.R15",10,7,2,"R15",5,18,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,1,105,10,4
"18.R17rev",10,7,2,"R17rev",6,18,64,0,24,47,1,0,0.895833333333333,0.708333333333333,-4.83891213389121,87,11.5502092050209,0,1,105,10,5
"2.R1",6,8,2,"R1",4,2,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,99,116,10,1
"2.R2rev",6,8,2,"R2rev",6,2,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,99,116,10,6
"2.R4",6,8,2,"R4",4,2,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,99,116,10,7
"2.R6rev",6,8,2,"R6rev",6,2,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,99,116,10,8
"2.R8",6,8,2,"R8",5,2,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,99,116,10,9
"2.R13",6,8,2,"R13",5,2,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,99,116,10,2
"2.R14",6,8,2,"R14",6,2,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,99,116,10,3
"2.R15",6,8,2,"R15",4,2,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,99,116,10,4
"2.R17rev",6,8,2,"R17rev",7,2,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,99,116,10,5
"6.R1",7,8,2,"R1",5,6,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,108,116,10,1
"6.R2rev",7,8,2,"R2rev",6,6,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,108,116,10,6
"6.R4",7,8,2,"R4",5,6,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,108,116,10,7
"6.R6rev",7,8,2,"R6rev",7,6,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,108,116,10,8
"6.R8",7,8,2,"R8",5,6,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,108,116,10,9
"6.R13",7,8,2,"R13",5,6,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,108,116,10,2
"6.R14",7,8,2,"R14",5,6,38,0,25,40,0,0,0.9375,0.5,-3.83891213389121,80,4.55020920502092,1,108,116,10,3
