"","X.1","X","ID","Group","Group_affiliation","YOB","Age","Gender","Sex","IndividScore","Est_Score","Overconfidence","Group_Quiz_Score","Group_Bonus_Score","Nominated","mode_influential","initial_influential","mode_learn","initial_learn","aveP","aveD","meanP","meanD","aveInf","aveLik","sScore","GroupID","o_conf","ageS","OConfBIN"
"1",1,1,6,2,"NewquayZoo",1975,43,"F",1,27,20,-7,30,4,0,6,1,8,0,0.856481481481482,0.416666666666667,6.13888888888889,3.5,0.777777777777778,1,-1.625,10,-2.49264705882353,-3.48529411764706,0
"2",2,2,7,2,"NewquayZoo",1954,64,"M",0,24,31,7,30,4,1,6,0,8,0,0.796296296296296,0.390625,5.77777777777778,3.34375,0.708333333333333,0.895833333333333,-4.625,10,11.5073529411765,17.5147058823529,1
"3",3,3,8,2,"NewquayZoo",1980,38,"M",0,25,25,0,30,4,0,6,0,8,1,0.726851851851852,0.234375,5.36111111111111,2.40625,0.5,0.9375,-3.625,10,4.50735294117647,-8.48529411764706,0
"4",4,4,9,2,"NewquayZoo",1992,26,"M",0,28,14,-14,30,4,0,6,0,8,0,0.597222222222222,0.161458333333333,4.58333333333333,1.96875,0.277777777777778,0.875,-0.625,10,-9.49264705882353,-20.4852941176471,0
"5",5,5,10,2,"NewquayZoo",1992,26,"M",0,29,21,-8,30,4,0,6,0,8,0,0.564814814814815,0.234375,4.38888888888889,2.40625,0.319444444444444,0.833333333333333,0.375,10,-3.49264705882353,-20.4852941176471,0
"6",6,6,11,3,"FX Plus Library Staff",1981,37,"F",1,25,15,-10,35,3,0,14,0,0,0,0.847222222222222,0.177083333333334,6.08333333333333,2.0625,0.458333333333333,0.958333333333333,-3.625,21,-5.49264705882353,-9.48529411764706,0
"7",7,7,12,3,"FX Plus Library Staff",1975,43,"F",1,27,25,-2,35,3,0,14,0,0,0,0.888888888888889,0.166666666666667,6.33333333333333,2,0.5,0.958333333333333,-1.625,21,2.50735294117647,-3.48529411764706,0
"8",8,8,13,3,"FX Plus Library Staff",1954,64,"M",0,32,36,4,35,3,1,14,0,0,0,0.560185185185185,0.395833333333333,4.36111111111111,3.375,0.763888888888889,0.645833333333333,3.375,21,8.50735294117647,17.5147058823529,1
"9",9,9,14,3,"FX Plus Library Staff",1954,64,"F",1,28,28,0,35,3,0,14,1,0,0,0.902777777777778,0.447916666666667,6.41666666666667,3.6875,0.763888888888889,1,-0.625,21,4.50735294117647,17.5147058823529,0
"10",10,10,15,3,"FX Plus Library Staff",1970,48,"F",1,30,32,2,35,3,0,14,0,0,0,0.699074074074074,0.515625,5.19444444444445,4.09375,0.777777777777778,0.854166666666667,1.375,21,6.50735294117647,1.51470588235294,1
"11",11,11,16,4,"Falmouth Cruiseship Ambassadors_4",1954,64,"F",1,33,31,-2,36,6,0,20,0,20,0,0.777777777777778,0.145833333333333,5.66666666666667,1.875,0.685185185185185,0.944444444444444,4.375,25,2.50735294117647,17.5147058823529,0
"12",12,12,17,4,"Falmouth Cruiseship Ambassadors_5",1937,81,"F",1,28,20,-8,36,6,0,20,0,20,0,0.851851851851852,0.131944444444444,6.11111111111111,1.79166666666667,0.388888888888889,0.944444444444444,-0.625,25,-3.49264705882353,34.5147058823529,0
"13",13,13,18,4,"Falmouth Cruiseship Ambassadors_6",1947,71,"F",1,35,20,-15,36,6,0,20,0,20,0,0.777777777777778,0.215277777777778,5.66666666666667,2.29166666666667,0.462962962962963,0.888888888888889,6.375,25,-10.4926470588235,24.5147058823529,0
"14",14,14,19,4,"Falmouth Cruiseship Ambassadors_7",1951,67,"F",1,25,20,-5,36,6,0,20,0,20,0,0.717592592592593,0.161458333333334,5.30555555555556,1.96875,0.430555555555556,0.916666666666667,-3.625,25,-0.492647058823529,20.5147058823529,0
"15",15,15,20,4,"Falmouth Cruiseship Ambassadors_8",1946,72,"F",1,33,30,-3,36,6,1,20,1,20,1,0.839506172839506,0.256944444444445,6.03703703703704,2.54166666666667,0.777777777777778,0.944444444444444,4.375,25,1.50735294117647,25.5147058823529,0
"16",16,16,21,5,"Falmouth Cruiseship Ambassadors_5",1947,71,"M",0,26,20,-6,35,5,0,22,0,21,1,0.882716049382716,0.361111111111111,6.29629629629629,3.16666666666667,0.592592592592593,0.888888888888889,-2.625,26,-1.49264705882353,24.5147058823529,0
"17",17,17,22,5,"Falmouth Cruiseship Ambassadors_6",1946,72,"M",0,28,12,-16,35,5,0,22,1,21,0,0.87037037037037,0.46875,6.22222222222222,3.8125,0.555555555555556,0.958333333333333,-0.625,26,-11.4926470588235,25.5147058823529,0
"18",18,18,23,5,"Falmouth Cruiseship Ambassadors_7",1956,62,"M",0,36,32,-4,35,5,1,22,0,21,0,0.694444444444444,0.177083333333333,5.16666666666667,2.0625,0.444444444444444,0.916666666666667,7.375,26,0.507352941176471,15.5147058823529,0
"19",19,19,24,5,"Falmouth Cruiseship Ambassadors_8",1941,77,"M",0,27,30,3,35,5,0,22,0,21,0,0.782407407407407,0.1875,5.69444444444444,2.125,0.541666666666667,0.875,-1.625,26,7.50735294117647,30.5147058823529,1
"20",20,20,25,5,"Falmouth Cruiseship Ambassadors_9",1950,68,"M",0,33,25,-8,35,5,0,22,0,21,0,0.691358024691358,0.4375,5.14814814814815,3.625,0.537037037037037,0.861111111111111,4.375,26,-3.49264705882353,21.5147058823529,0
"21",21,21,26,6,"REDWING Community Centre",1960,58,"M",0,32,25,-7,36,5,1,0,0,0,0,0.675925925925926,0.270833333333333,5.05555555555556,2.625,0.722222222222222,0.791666666666667,3.375,27,-2.49264705882353,11.5147058823529,0
"22",28,28,33,7,"REDWING2",1988,30,"F",1,26,40,14,31,5,0,31,0,0,0,0.62962962962963,0.319444444444444,4.77777777777778,2.91666666666667,0.388888888888889,0.888888888888889,-2.625,28,18.5073529411765,-16.4852941176471,1
"23",31,31,36,8,"SourceFM",1968,50,"M",0,30,35,5,32,4,1,0,0,0,0,0.740740740740741,0.21875,5.44444444444445,2.3125,0.666666666666667,0.75,1.375,29,9.50735294117647,3.51470588235294,1
"24",32,32,37,8,"SourceFM",1964,54,"M",0,28,34,6,32,4,0,0,0,0,0,0.777777777777778,0.255208333333333,5.66666666666667,2.53125,0.638888888888889,0.895833333333333,-0.625,29,10.5073529411765,7.51470588235294,1
"25",33,33,38,8,"SourceFM",1980,38,"F",1,31,28,-3,32,4,0,0,0,0,0,0.601851851851852,0.109375,4.61111111111111,1.65625,0.305555555555556,0.833333333333333,2.375,29,1.50735294117647,-8.48529411764706,0
"26",34,34,39,8,"SourceFM",1962,56,"F",1,28,32,4,32,4,0,0,0,0,0,0.847222222222222,0.369791666666667,6.08333333333333,3.21875,0.861111111111111,0.8125,-0.625,29,8.50735294117647,9.51470588235294,1
"27",35,35,40,8,"SourceFM",1970,48,"F",1,26,25,-1,32,4,0,0,0,0,0,0.430555555555556,0.265625,3.58333333333333,2.59375,0.277777777777778,0.625,-2.625,29,3.50735294117647,1.51470588235294,0
"28",36,36,41,9,"Nankersey Choir",1942,76,"M",0,29,20,-9,32,4,0,0,0,0,0,0.728395061728395,0.347222222222222,5.37037037037037,3.08333333333333,0.537037037037037,0.888888888888889,0.375,30,-4.49264705882353,29.5147058823529,0
"29",37,37,42,9,"Nankersey Choir",1943,75,"M",0,24,29,5,32,4,0,0,0,0,0,0.697530864197531,0.368055555555555,5.18518518518518,3.20833333333333,0.574074074074074,0.805555555555556,-4.625,30,9.50735294117647,28.5147058823529,1
"30",38,38,43,9,"Nankersey Choir",1947,71,"M",0,22,15,-7,32,4,0,0,0,0,0,0.606481481481482,0.427083333333333,4.63888888888889,3.5625,0.555555555555556,0.854166666666667,-6.625,30,-2.49264705882353,24.5147058823529,0
"31",39,39,44,9,"Nankersey Choir",1965,53,"M",0,33,27,-6,32,4,1,0,0,0,0,0.731481481481482,0.276041666666667,5.38888888888889,2.65625,0.791666666666667,0.854166666666667,4.375,30,-1.49264705882353,6.51470588235294,0
